word,sound
486,fabric,fabric__gb_1.mp3
487,factory shop,factory_shop_1_gb_2.mp3
488,farmers’ market,farmers_market_1_gb_1.mp3
489,farm shop,farm_shop_1_gb_1.mp3
490,fishmonger,fishmonger__gb_1.mp3
491,fitting room,fitting_room_1_gb_1.mp3
492,florist,florist__gb_1.mp3
493,food hall,food_hall_1_gb_1.mp3
494,fragrance,fragrance__gb_1.mp3
495,free,free__gb_1.mp3
496,furnishings,furnishings__gb_2.mp3
497,furniture,furniture__gb_1.mp3
498,gadget,gadget__gb_2.mp3
499,game,game__gb_2.mp3
500,garden centre,garden_centre_1_gb_1.mp3
501,gift,gift__gb_2.mp3
502,gift card,gift_card_1_gb_1.mp3
503,gift certificate,gift_certificate_1_gb_1.mp3
504,glassware,glassware__gb_1.mp3
505,goods,goods__gb_2.mp3
506,greengrocer,greengrocer__gb_1.mp3
507,grocer,grocer__gb_1.mp3
508,grocery,grocery__gb_1.mp3
509,haberdashery,haberdashery__gb_1.mp3
510,haggle,haggle__gb_2.mp3
511,hairdresser,hairdresser__gb_2.mp3
512,hardware,hardware__gb_1.mp3
513,health food,health_food_1_gb_1.mp3
514,helpful,helpful__gb_1.mp3
515,high street,high_street_1_gb_1.mp3
516,hypermarket,hypermarket__gb_1.mp3
517,impulse buy,impulse_buy_1_gb_1.mp3
518,impulse buying,impulse_buying_1_gb_1.mp3
519,internet,internet__gb_2.mp3
520,ironmonger,ironmonger__gb_1.mp3
521,item,item__gb_2.mp3
522,jeweller,jeweller__gb_1.mp3
523,jewellery,jewellery__gb_1.mp3
524,kiosk,kiosk__gb_3.mp3
525,knock-off,knock_off_1_gb_1.mp3
526,launderette,launderette__gb_3.mp3
527,linen,linen__gb_1.mp3
528,liquor store,liquor_store_1_gb_1.mp3
529,list,list__gb_1.mp3
530,loyalty card,loyalty_card_1_gb_1.mp3
531,luggage,luggage__gb_1.mp3
532,main street,main_street_1_gb_1.mp3
533,mall,mall__gb_1.mp3
534,mall rat,mallrat__gb_1.mp3
535,manager,manager__gb_1.mp3
536,mannequin,mannequin__gb_1.mp3
537,market,market__gb_3.mp3
538,markup,markup__gb_1.mp3
539,megastore,megastore__gb_1.mp3
540,music,music__gb_1.mp3
541,mystery shopper,mystery_shopper_1_gb_1.mp3
542,mystery shopping,mystery_shopping_1_gb_1.mp3
543,newsagent,newsagent__gb_1.mp3
544,note,note__gb_2.mp3
545,offer,offer__gb_1.mp3
546,off-licence,off_licence_1_gb_1.mp3
547,off the peg,peg__gb_2.mp3
548,online,online__gb_1.mp3
549,on sale,sale__gb_1.mp3
550,optician,optician__gb_1.mp3
551,order,order__gb_1.mp3
552,order,order__gb_1.mp3
553,outlet,outlet__gb_1.mp3
554,over the counter,counter__gb_1.mp3
555,package store,package_store_1_gb_1.mp3
556,packaging,packaging__gb_1.mp3
557,p. and h.,p__and_h__1_gb_1.mp3
558,p. and p.,p_and_p__1_gb_1.mp3
559,panic buying,panic_buying_1_gb_1.mp3
560,paper shop,paper_shop_1_gb_1.mp3
561,password,password__gb_1.mp3
562,pay,pay__gb_1.mp3
563,payment,payment__gb_1.mp3
564,pedestrian precinct,pedestrian_precinct_1_gb_1.mp3
565,perfume,perfume__gb_1.mp3
566,pharmacist,pharmacist__gb_1.mp3
567,pharmacy,pharmacy__gb_1.mp3
568,plaza,plaza__gb_1.mp3
569,portal,portal__gb_1.mp3
570,postage,postage__gb_1.mp3
571,precinct,precinct__gb_1.mp3
572,pre-order,pre_order_1_gb_2.mp3
573,pre-order,pre_order_1_gb_2.mp3
574,price,price__gb_1.mp3
575,price tag,price_tag_1_gb_1.mp3
576,product,product__gb_2.mp3
577,profit margin,profit_margin_1_gb_1.mp3
578,promotion,promotion__gb_1.mp3
579,purchase,purchase__gb_3.mp3
580,purchase,purchase__gb_3.mp3
581,queue,queue__gb_1.mp3
582,queue,queue__gb_1.mp3
583,rack,rack__gb_1.mp3
584,range,range__gb_2.mp3
585,rate,rate__gb_2.mp3
586,receipt,receipt__gb_2.mp3
587,reduce,reduce__gb_2.mp3
588,reduction,reduction__gb_1.mp3
589,refund,refund__gb_6.mp3
590,register,register__gb_2.mp3
591,retail,retail__gb_1.mp3
592,retail,retail__gb_1.mp3
593,retail,retail__gb_1.mp3
594,retail therapy,retail_therapy_1_gb_1.mp3
595,return,return__gb_1.mp3
596,safe,safe__gb_1.mp3
597,sale,sale__gb_1.mp3
598,sales clerk,sales_clerk_1_gb_1.mp3
599,salesman,salesman__gb_1.mp3
600,sales slip,sales_slip_1_gb_1.mp3
601,saleswoman,saleswoman__gb_1.mp3
602,salon,salon__gb_1.mp3
603,sample,sample__gb_3.mp3
604,sari-sari store,sari_sari_store_1_gb_1.mp3
605,saving,saving__gb_1.mp3
606,self-checkout,self_checkout_1_gb_1.mp3
607,self-service,self_service_1_gb_1.mp3
608,sell,sell__gb_1.mp3
609,seller,seller__gb_1.mp3
610,sell out,fluency__gb_1.mp3
611,serve,serve__gb_1.mp3
612,service,service__gb_2.mp3
613,shelf,shelf__gb_2.mp3
614,shipping,shipping__gb_1.mp3
615,shoe,shoe__gb_2.mp3
616,shop,shop__gb_2.mp3
617,shop,shop__gb_2.mp3
618,shopaholic,shopaholic__gb_1.mp3
619,shop assistant,shop_assistant_1_gb_1.mp3
620,shoplift,shoplift__gb_1.mp3
621,shoplifter,shoplifter__gb_1.mp3
622,shoplifting,shoplifting__gb_1.mp3
623,shopper,shopper__gb_1.mp3
624,shopping,shopping__gb_1.mp3
625,shopping bag,shopping_bag_1_gb_1.mp3
626,shopping centre,shopping_centre_1_gb_1.mp3
627,shopping mall,shopping_mall_1_gb_1.mp3
628,shop window,shop_window_1_gb_1.mp3
629,short-change,short_change_1_gb_1.mp3
630,showroom,showroom__gb_1.mp3
631,showrooming,showrooming__gb_1.mp3
632,skincare,skincare__gb_2.mp3
633,special,special__gb_1.mp3
634,special offer,special_offer_1_gb_1.mp3
635,spend,spend__gb_1.mp3
636,spendthrift,spendthrift__gb_1.mp3
637,spendthrift,spendthrift__gb_1.mp3
638,splurge,splurge__gb_1.mp3
639,splurge,splurge__gb_1.mp3
640,spree,spree__gb_1.mp3
641,stall,stall__gb_1.mp3
642,stand,stand__gb_1.mp3
643,stationer,stationer__gb_1.mp3
644,stationery,stationery__gb_1.mp3
645,stock,stock__gb_1.mp3
646,stock,stock__gb_1.mp3
647,stockist,stockist__gb_1.mp3
648,stocktaking,stocktaking__gb_1.mp3
649,stock up,fluency__gb_1.mp3
650,store,store__gb_2.mp3
651,store card,store_card_1_gb_1.mp3
652,store window,store_window_1_gb_1.mp3
653,supermarket,supermarket__gb_1.mp3
654,superstore,superstore__gb_1.mp3
655,takings,takings__gb_1.mp3
656,tax,tax__gb_1.mp3
657,technology,technology__gb_2.mp3
658,tester,tester__gb_1.mp3
659,thrift shop,thrift_shop_1_gb_1.mp3
660,till,till__gb_1.mp3
661,tobacconist,tobacconist__gb_1.mp3
662,toiletries,toiletries__gb_1.mp3
663,token,token__gb_1.mp3
664,total,total__gb_2.mp3
665,town centre,town_centre_1_gb_1.mp3
666,toy,toy__gb_1.mp3
667,trade,trade__gb_1.mp3
668,transaction,transaction__gb_1.mp3
669,travel agency,travel_agency_1_gb_1.mp3
670,traveller’s cheque,traveller_s_cheque_1_gb_1.mp3
671,trolley,trolley__gb_1.mp3
672,try on,fluency__gb_1.mp3
673,unhelpful,unhelpful__gb_1.mp3
674,value,value__gb_2.mp3
675,voucher,voucher__gb_1.mp3
676,wet market,wet_market_1_gb_1.mp3
677,white goods,white_goods_1_gb_1.mp3
678,wholesale,wholesale__gb_1.mp3
679,window,window__gb_2.mp3
680,window shopping,window_shopping_1_gb_1.mp3
